X1,X2_1,X2_2,X2_3,X2_4,X2_5,X2_6,X2_7,X2_8,X2_9,X2_10,X2_11,X2_12,X2_13,X2_14,X2_15,X2_16,X2_17,X2_18,X2_19,X2_20,X2_21,X2_22,X2_23,X2_24,X2_25,Y
0.04914283,-1.1810908,-0.8177472,1.3298888,-0.8029708,0.3446154,0.45909813,0.58353883,0.011283147,0.86868864,0.29653925,0.06396853,0.02291938,0.5173389,0.9471755,0.06951623,0.98381454,0.7903561,0.98701596,0.01254863,0.035668377,0.60457295,0.0033295031,0.045453217,0.14829385,0.022412691,-3.1259568
0.040877476,0.1441149,0.46981096,-0.022377782,-1.1188406,-0.5839993,0.10287923,0.24142113,0.15678346,0.7263218,0.0771757,0.47634852,0.51664346,0.2823822,0.9091452,0.13221192,0.9587945,0.6135447,0.95238686,0.15714352,0.3625511,0.14672115,0.06301657,0.11599151,0.08932184,0.11202197,-1.3980142
0.08594642,-0.91733587,-0.6883812,1.1136686,-0.6252837,0.41061765,0.61371243,0.57888377,0.015758375,0.8414929,0.21795622,0.12570883,0.041856732,0.37296486,0.9194372,0.1033372,0.98115784,0.63413846,0.9780507,0.024037462,0.069781244,0.5514669,0.005645735,0.07435758,0.118512206,0.02387967,-2.1604474
0.03296824,0.86846244,0.21448058,-0.15785961,0.16111754,-0.016052274,-0.45362297,0.79894197,0.06470244,0.6712694,0.2538654,0.40066174,0.013291698,0.52317244,0.5170594,0.03558974,0.93072206,0.7441688,0.9779701,0.027944067,0.05069979,0.19868189,0.010925233,0.112033576,0.09244414,0.08695877,-3.1835492
0.060794882,1.4017919,0.6258488,-0.6178272,-0.2276722,-0.39882216,-1.157616,0.7956417,0.099621795,0.6775404,0.4499184,0.43487272,0.0075031524,0.56418496,0.72216696,0.040398285,0.81377655,0.7798573,0.98308796,0.03315759,0.102022246,0.14972976,0.020948539,0.09237923,0.07280138,0.35595882,-4.0355906
0.009170944,-1.6708105,-1.6308779,1.3167816,1.6945528,-0.22173397,0.16347748,0.6026984,0.37070152,0.115247585,0.24906574,0.63294905,0.14378498,0.5296754,0.035979554,0.12244167,0.95552856,0.3319687,0.7117688,0.28881863,0.027588058,0.051266756,0.10308119,0.28792164,0.37675405,0.026817787,-1.3252188
0.03004557,0.31588742,-0.07718819,0.1439024,0.43160048,0.0707875,-0.18030347,0.7635988,0.086937204,0.58049446,0.23167053,0.40618148,0.026324762,0.52624774,0.3478986,0.05168946,0.94116634,0.6720637,0.9539644,0.04319878,0.04444407,0.2359893,0.016105374,0.15099776,0.13571012,0.05886005,-2.5338013
0.057661083,0.9874235,1.0930504,-0.37749544,-0.9862513,-0.6701734,0.102886125,0.29358983,0.15654477,0.78962725,0.0704294,0.48694307,0.42064142,0.21537903,0.8807058,0.13259839,0.9155761,0.59659106,0.94747776,0.13809639,0.49349955,0.07454277,0.06787967,0.14935349,0.077570625,0.15268894,-1.3957586
0.021250907,-0.28956097,0.6572861,-0.25648573,-0.51714396,0.26931706,-0.053009972,0.31250012,0.3114383,0.5825722,0.12493465,0.759244,0.28559482,0.3604247,0.78613704,0.09403287,0.9662258,0.682735,0.955181,0.13393867,0.2059601,0.57637304,0.04708579,0.09690746,0.080368616,0.15451226,-1.8056208
0.09274811,-0.4600327,-0.014967281,0.5454191,-1.1231064,-0.062424466,0.6203195,0.27518857,0.0948773,0.8024326,0.1156307,0.27607554,0.37938917,0.2799062,0.93273485,0.23979975,0.9554072,0.5994848,0.939481,0.13805017,0.31562638,0.32490265,0.05131089,0.14413907,0.12076162,0.06203175,-0.95637226
