X1,X2_1,X2_2,X2_3,X2_4,X2_5,X2_6,X2_7,X2_8,X2_9,X2_10,X2_11,X2_12,X2_13,X2_14,X2_15,X2_16,X2_17,X2_18,X2_19,X2_20,X2_21,X2_22,X2_23,X2_24,X2_25,X2_26,X2_27,X2_28,X2_29,X2_30,X2_31,X2_32,X2_33,X2_34,X2_35,X2_36,X2_37,X2_38,X2_39,X2_40,X2_41,X2_42,X2_43,X2_44,X2_45,X2_46,X2_47,X2_48,X2_49,X2_50,X2_51,X2_52,X2_53,X2_54,X2_55,X2_56,X2_57,X2_58,X2_59,X2_60,X2_61,X2_62,X2_63,X2_64,Y,YC,MU0,MU1,S1,GT
0,0.09664959,0.8367667,-0.33982575,-0.060627818,-0.4561237,0.35372224,0.026554644,-0.39914,0.9482233,-0.34018886,-0.5115091,0.9868354,-0.47564954,-0.25792652,-0.51959026,-0.17535056,-0.15037557,1.1059754,0.47225547,-0.477077,0.21505317,-0.62627727,1.4285779,0.4057184,-0.21645841,-0.10834081,-0.91127664,0.46185285,0.22825025,-1.0662583,0.41485122,0.37864566,-0.18211877,-0.13591613,0.7898278,-0.10218618,1.0456592,0.8791045,-0.116447836,-1.3362792,1.0061556,0.0152782425,0.7542004,0.042097166,0.312118,0.16951534,0.23375279,0.67915446,-0.42743266,0.19445822,0.16851306,0.23622634,1.6166395,-0.986729,0.5883809,0.5203612,0.8011249,-0.5586058,0.343176,0.021215305,-0.79527724,-0.47853482,-0.26005733,0.563928,120.0,0,20.0,220.0,0.0,200.0
0,0.14707673,0.93164897,-0.20767158,-0.09363136,-0.19531606,0.32156086,0.031367272,-0.3903257,0.98088205,-0.18127497,-0.61708033,0.9634487,-0.36778092,-0.21428189,-0.5080475,0.10798161,-0.18850775,0.8530294,0.4472906,-0.42344093,0.14705601,-0.36282533,1.5634725,0.28668606,-0.21131313,-0.14239663,-0.86010396,0.51927125,0.049680218,-1.0193241,0.40553167,0.2830881,-0.13284214,-0.1123697,0.8019839,-0.26000056,1.0478157,0.9316257,-0.065190405,-1.1479137,1.064129,-0.18530488,0.5487661,0.25854498,0.25060436,0.04386936,0.32544404,0.85624266,-0.48822635,0.17187056,0.08018035,0.3267464,1.4778095,-0.9376874,0.5593718,0.4168418,0.6063102,-0.5557328,0.32739973,-0.041554242,-0.7268849,-0.46747452,-0.2623384,0.6010227,80.0,0,-20.0,180.0,0.0,200.0
0,0.07074809,0.8873925,-0.4907691,-0.10898836,-0.37078604,0.3067612,0.20786996,-0.4557977,1.0805244,-0.25648886,-0.6054927,1.1511455,-0.3147983,-0.072585925,-0.40694255,-0.048406363,-0.31939662,0.9388975,0.5819439,-0.5258528,0.06515505,-0.40226227,1.2857957,0.32693404,-0.14945287,-0.15529916,-0.90814084,0.52225184,0.053889737,-1.2836447,0.28586268,0.26317972,-0.14634262,-0.1322016,0.94938856,-0.32836553,1.0749359,1.0537627,-0.25050998,-1.358052,1.226557,0.0061722323,0.5906555,0.058971897,0.26030248,-0.018817246,0.334454,0.6237032,-0.34029752,0.06751973,0.17617145,0.12730402,1.542542,-0.78095317,0.6172054,0.5283078,0.58897156,-0.50483286,0.48989195,-0.11207713,-0.6985729,-0.5654473,-0.38732076,0.5004783,85.0,0,-15.0,185.0,0.0,200.0
0,0.03373175,0.8497549,-0.38837168,-0.16131142,-0.3089611,0.37968728,0.0001513809,-0.41234294,1.2357532,-0.15710194,-0.587831,1.1500539,-0.58629537,-0.07643294,-0.2172143,-0.032090276,-0.26196495,0.79108405,0.49248415,-0.41895056,0.018771455,-0.39078975,1.4134824,0.34140885,-0.009548858,-0.07315613,-0.77833194,0.5930446,0.052762136,-0.9183974,0.41146553,0.30938196,-0.17214324,-0.2363858,0.77626014,-0.23575377,1.0542059,0.8085778,-0.19499357,-1.4346457,1.119701,-0.037422087,0.65087074,0.054795936,0.44689888,0.0715782,0.19446704,0.7328093,-0.3938164,0.056540564,0.24690163,0.1640656,1.5776973,-0.958611,0.5341665,0.47352752,0.52726066,-0.24948157,0.46795225,-0.1736441,-0.7756063,-0.5885992,-0.29816192,0.6670799,120.0,0,20.0,220.0,0.0,200.0
0,0.1096499,1.0563396,-0.33537892,-0.06066078,-0.4122661,0.24273917,0.16437607,-0.3263419,0.92904484,-0.11789103,-0.64845353,1.0151566,-0.3717214,-0.27182016,-0.38489676,0.06968923,-0.15863705,0.7441142,0.4805385,-0.48209006,0.23059957,-0.29138482,1.4143409,0.30402452,-0.16509345,-0.23469615,-0.89403737,0.3049517,0.044331446,-1.154905,0.4192647,0.2644794,-0.21976073,-0.10984738,0.65130585,-0.048286185,1.0220213,0.8639927,-0.15902969,-1.203017,0.98290646,-0.006924778,0.63881665,0.23016252,0.15310204,0.031577826,0.35003102,0.73599994,-0.52854455,0.22199577,0.11834839,0.261545,1.49974,-0.9421505,0.51098037,0.57359767,0.62426895,-0.3598683,0.37323385,0.06795733,-0.7954482,-0.468427,-0.16113001,0.42049134,95.0,0,-5.0,195.0,0.0,200.0
0,0.07117279,0.7326672,-0.35510504,-0.28432837,-0.3724374,0.26106364,-0.11936527,-0.50691533,1.0708205,-0.19188936,-0.633068,1.2353066,-0.49827296,-0.20213032,-0.31748444,-0.18707667,-0.086165756,0.8867237,0.46650505,-0.43689454,-0.089205846,-0.45261097,1.2888011,0.21718624,-0.09651475,-0.002171725,-0.97409105,0.56912345,0.13484336,-1.0884063,0.18930218,0.46720642,-0.02041082,-0.3214736,0.89049524,-0.18108353,1.026034,0.9732839,-0.29146016,-1.3093781,1.0691594,0.04580106,0.8302328,-0.053390205,0.43384373,-0.060072407,0.1851624,0.52745575,-0.3857752,0.20469943,0.14245139,0.121077664,1.5352161,-0.8700656,0.5759339,0.48665372,0.7950011,-0.2036736,0.47081965,-0.1083315,-0.7996214,-0.5875355,-0.37451506,0.5309076,67.0,0,-33.0,167.0,0.0,200.0
0,0.20767924,1.0120075,-0.3571039,-0.07208677,-0.3790606,0.21198091,0.17018585,-0.4002534,1.0132898,-0.25704175,-0.4502589,0.9475035,-0.32924873,-0.22278315,-0.47677058,0.029312387,-0.13130671,1.0390635,0.52270514,-0.48242652,0.13471954,-0.4238885,1.371186,0.39252818,-0.26837435,-0.27324662,-0.98851144,0.4505986,0.011279166,-1.2706151,0.5202212,0.31370807,-0.20276897,-0.15817346,0.7476853,-0.11461212,1.0705471,0.8956797,-0.11445655,-1.3227334,1.0421064,-0.046041887,0.80126446,0.19677767,0.20440891,-0.1541434,0.3245471,0.7285548,-0.34325153,0.1688588,0.08804667,0.1838364,1.5500035,-0.75648147,0.5667539,0.5133488,0.61009634,-0.331739,0.3488034,-0.04305937,-0.9076327,-0.35728854,-0.25802648,0.26757842,170.0,0,70.0,270.0,0.0,200.0
0,0.028993435,0.842435,-0.24359299,-0.20333311,-0.38655415,0.1208916,0.13326377,-0.3089063,0.9517551,-0.26267856,-0.6170048,1.1219435,-0.18476044,-0.21331918,-0.6795674,-0.13285394,-0.26030186,1.0069923,0.5922261,-0.5745885,0.17896464,-0.51022327,1.4652942,0.26286638,-0.34170917,-0.24962965,-0.9130353,0.3512928,0.050054222,-1.1570209,0.4396138,0.2845497,-0.11706358,-0.017002359,0.84753174,-0.2717324,1.0441878,1.0602758,0.08864777,-1.3235877,0.93178916,-0.06003768,0.76232153,0.13802363,0.2517729,0.117831975,0.27326894,0.6996732,-0.4097274,0.11490522,0.10917646,0.33656228,1.5283386,-0.890392,0.4559241,0.6272967,0.49033886,-0.62743235,0.25264195,-0.028430544,-0.62475896,-0.26967242,-0.24096306,0.6868202,50.0,0,-50.0,150.0,0.0,200.0
0,-0.02772925,0.8419589,-0.4292361,-0.02447775,-0.47020546,0.4457901,0.14551575,-0.12738213,1.1448067,-0.2633912,-0.5372525,1.0026226,-0.38363194,-0.1931572,-0.60898864,-0.19302756,-0.3117823,0.92991054,0.5212706,-0.537574,0.19173646,-0.63608116,1.5246669,0.5832021,-0.08054809,-0.08655282,-0.8393665,0.37523136,0.103213206,-0.9284965,0.34914887,0.21381502,-0.22943766,-0.1325094,0.8535303,-0.20984638,1.0847565,0.79260457,-0.0149618685,-1.2859805,0.8988886,-0.076530404,0.719261,0.09928805,0.35224456,0.18024302,0.27723163,0.8191127,-0.50434756,0.18641011,0.12103757,0.1075064,1.7957349,-1.0177352,0.7049335,0.51567745,0.57443684,-0.6894978,0.39892557,-0.19274968,-0.8750356,-0.44067705,-0.34239578,0.7613255,160.0,0,60.0,260.0,0.0,200.0
0,0.12011036,0.9657774,-0.3931353,-0.07837808,-0.4223992,0.4702916,0.19120225,-0.36675602,1.0651867,-0.29271573,-0.6303092,0.7967479,-0.3582756,-0.32888508,-0.40936267,-0.022460535,-0.19614802,0.9230999,0.5008939,-0.4462729,0.31136024,-0.42891312,1.4126796,0.35117275,-0.07382095,-0.26452783,-0.86370975,0.31339708,0.016039446,-0.9622655,0.42725503,0.28803587,-0.14429031,-0.070587754,0.6709819,-0.20233917,0.9946984,0.8636371,-0.08994475,-1.1635361,1.0352931,0.032656386,0.5748294,0.18133381,0.43125427,0.2340314,0.16932178,0.93127614,-0.55075836,0.14180005,0.13682374,0.29849547,1.5633003,-1.0273513,0.6106773,0.6279721,0.62074834,-0.4773547,0.3069907,0.021396145,-0.8243537,-0.3573889,-0.09635901,0.56444573,157.0,0,57.0,257.0,0.0,200.0
